Frequency (Hz)	Storage (Pa)	Loss (Pa)
0.014000	2358100000	311543000
0.017625	2407070000	281902000
0.022188	2414170000	326662000
0.027934	2444490000	276670000
0.035166	2455490000	247312000
0.044272	2525750000	245922000
0.055735	2435730000	303830000
0.070166	2721950000	-258543000
0.088334	2093790000	596254000
0.111206	2443290000	681705000
0.140000	2255610000	244578000
0.176250	2839570000	95302600
0.221885	2480670000	95549200
0.279337	2563330000	149674000
0.351664	2689870000	203917000
0.442719	2666430000	107439000
0.557350	2765470000	169002000
0.701662	2719630000	121963000
0.883340	2740030000	126209000
1.112060	2767340000	119548000
1.400000	2769020000	123926000
1.762500	2770380000	130977000
2.218850	2790120000	102800000
2.793370	2790230000	108489000
3.516640	2810260000	112342000
4.427190	2810350000	98973500
5.573500	2820730000	107573000
7.016620	2829830000	102173000
8.833400	2837870000	104096000
11.120600	2846270000	109930000
14.000000	2840870000	111904000
