Frequency (Hz), Storage (MPa), Loss (MPa) - EP103_S2_1.txt
0.096430, 4432.038385, 506.896966
0.214575, 5135.920451, 459.195779
0.449398, 6082.524685, 522.988834
0.976054, 6543.689213, 478.161230
2.119903, 7029.126142, 483.908482
4.493985, 7223.300728, 357.586373
10.121934, 7538.835473, 428.736087
21.719121, 7660.194705, 275.793406
45.487793, 7733.010059, 451.724570
92.453491, 7798.640768, 295.345230
102.453491, 7878.640768, 297.345230
145.361611, 7948.543878, 375.126768
166.361611, 8048.543878, 400.126768
192.420324, 8148.533819, 492.908482
236.420324, 8315.533819, 493.908482
388.574453, 8412.621575, 481.609494
695.193388, 8582.524685, 555.172746
1037.026941, 8849.514626, 608.046066
