Frequency (Hz), Storage (MPa), Loss (MPa) - EP103_S3.txt
0.096430, 2077.669094, 210.345493
0.217191, 2174.756850, 189.655823
0.449398, 2344.659035, 196.552438
0.964296, 2441.746791, 205.747691
2.094367, 2490.291595, 205.747691
4.604242, 2611.650827, 191.954636
10.000000, 2660.193779, 224.138548
21.983930, 2805.824488, 212.644306
46.042442, 2854.369292, 173.563954
100.000046, 2951.455196, 217.241933
170.443041, 3169.902184, 242.529405
287.008838, 3315.532893, 270.115515
407.874881, 3509.708405, 274.713142
765.968774, 3776.698346, 270.115515
1337.569314, 4116.504567, 300.000614
