Frequency (Hz), Storage (MPa), Loss (MPa) - EP2016_45.txt
0.153648, 0.075962, 0.032839
0.247618, 0.079160, 0.041186
0.337673, 0.101384, 0.039661
0.627953, 0.094650, 0.058951
0.816426, 0.126326, 0.051655
1.036439, 0.161791, 0.053642
1.611586, 0.198842, 0.071197
2.566411, 0.201594, 0.098130
3.032949, 0.251189, 0.111990
6.586471, 0.296239, 0.163348
10.000000, 0.359107, 0.293233
15.735879, 0.485923, 0.374775
23.891213, 0.492648, 0.506895
39.905829, 0.648545, 0.767796
63.549041, 0.830621, 1.038470
97.642179, 1.049289, 1.864198
148.246570, 1.254606, 2.209339
230.512450, 1.584892, 2.877504
345.828125, 1.818449, 4.277082
494.653130, 1.921242, 5.364241
1224.850714, 2.901928, 7.534409
