Frequency (Hz), Storage (MPa), Loss (MPa) - EPrim_TATATO_Pa.txt
0.000161, 29.773200, 0.859087
0.000203, 29.746900, 0.947072
0.000255, 29.534000, 0.966649
0.000321, 29.554600, 0.928337
0.000353, 29.168700, 1.125230
0.000404, 29.325800, 1.044810
0.000446, 29.144600, 1.096030
0.000509, 29.340900, 1.072250
0.000561, 29.075500, 1.213850
0.000641, 29.357400, 1.120370
0.000704, 29.100600, 1.211410
0.000807, 29.306000, 1.158370
0.000887, 29.033200, 1.291710
0.000922, 28.831600, 1.360210
0.001016, 29.355100, 1.177430
0.001114, 29.020000, 1.305390
0.001163, 28.867100, 1.415670
0.001279, 29.241900, 1.210200
0.001404, 28.948800, 1.343320
0.001461, 28.735200, 1.494190
0.001610, 29.211300, 1.216400
0.001775, 29.011100, 1.301650
0.001843, 28.735700, 1.511470
0.002027, 29.305200, 1.224530
0.002225, 28.903600, 1.358990
0.002326, 28.729400, 1.566920
0.002552, 29.263300, 1.243890
0.002747, 28.566600, 1.614910
0.002806, 28.892400, 1.457370
0.002926, 28.707200, 1.547600
0.003213, 29.341600, 1.289460
0.003457, 28.734200, 1.757860
0.003523, 28.954600, 1.463510
0.003677, 28.735200, 1.639490
0.004044, 29.380700, 1.366960
0.004365, 28.672000, 1.763790
0.004452, 28.960100, 1.409310
0.004610, 28.770500, 1.647760
0.005091, 29.324900, 1.358050
0.005496, 28.645800, 1.814080
0.005601, 28.999200, 1.446460
0.005836, 28.710500, 1.625570
0.006409, 29.987000, 1.366020
0.006890, 28.665000, 1.781910
0.007020, 29.073700, 1.471940
0.007312, 28.736700, 1.674030
0.008069, 29.695500, 1.085050
0.008666, 28.663900, 1.849300
0.008863, 29.241300, 1.542040
0.009254, 28.853500, 1.744300
0.009716, 28.585900, 1.962190
0.010158, 29.705900, 1.588670
0.010973, 28.728900, 1.960150
0.011155, 29.328300, 1.529930
0.011648, 28.999900, 1.758730
0.012240, 28.496600, 2.037330
0.012788, 29.716200, 1.442250
0.013724, 28.735200, 1.992410
0.014064, 29.632100, 1.450440
0.014606, 28.953400, 1.836020
0.015384, 28.668000, 2.119560
0.016101, 29.744000, 1.431860
0.017295, 28.686800, 1.985870
0.017717, 29.553100, 1.438830
0.018363, 29.217500, 1.893700
0.019303, 28.688900, 2.263690
0.020270, 29.836200, 1.477860
0.021792, 28.873500, 2.083810
0.022289, 29.822100, 2.043100
0.023302, 29.186100, 1.861410
0.024405, 28.765000, 2.310400
0.025516, 29.952300, 1.473630
0.027521, 28.880500, 2.076200
0.027997, 29.635900, 1.645220
0.029286, 29.370100, 1.948610
0.030629, 28.884000, 2.355240
0.032123, 30.011200, 1.476900
0.034567, 29.161600, 2.210350
0.035314, 29.768000, 1.786650
0.036813, 29.638400, 1.845890
0.038588, 28.836000, 2.459800
0.040441, 30.076200, 1.456670
0.043236, 29.030600, 2.622450
0.043462, 29.160600, 2.138380
0.044429, 29.908000, 1.780560
0.046336, 29.669300, 1.822850
0.048556, 28.996000, 2.528630
0.050915, 30.146300, 1.586810
0.054608, 29.046000, 2.761340
0.054877, 29.416100, 2.251860
0.055933, 29.977600, 1.822240
0.058114, 29.825700, 2.198520
0.061274, 29.182500, 2.530960
0.064094, 30.286200, 1.505330
0.068747, 29.213900, 2.877910
0.068796, 29.612800, 2.286870
0.070255, 30.059300, 1.918850
0.073258, 29.769700, 2.134990
0.077084, 29.260600, 2.695530
0.080690, 30.233000, 1.690340
0.086901, 29.287200, 3.055880
0.087084, 29.713900, 2.347130
0.087912, 30.139100, 1.949010
0.092330, 29.840100, 2.229950
0.097251, 29.467800, 2.811530
0.101582, 30.306300, 1.759320
0.109045, 29.356500, 3.206470
0.109448, 29.947200, 2.579610
0.111220, 30.222800, 2.074410
0.115800, 30.050800, 2.326470
0.122491, 29.606500, 2.913400
0.127885, 30.382600, 1.961410
0.136686, 29.573500, 3.323220
0.137150, 30.102100, 2.424010
0.140567, 30.450400, 2.149960
0.146141, 30.166000, 2.582290
0.152672, 29.845500, 3.096020
0.160996, 30.515700, 2.133780
0.172451, 29.764400, 3.546340
0.172916, 30.206600, 3.167000
0.176617, 30.381800, 2.491770
0.184293, 30.380200, 2.784710
0.193765, 30.182300, 3.432290
0.217162, 29.873300, 3.770610
0.217964, 30.248600, 3.150830
0.222638, 30.511200, 2.835070
0.232492, 30.443800, 3.065790
0.244401, 30.098400, 3.488380
0.271993, 30.437600, 4.208790
0.273317, 30.009000, 4.029210
0.274227, 30.496000, 3.406840
0.279692, 30.683500, 3.193320
0.292085, 30.524900, 3.432220
0.306294, 30.318600, 3.683550
0.341576, 30.650300, 4.599020
0.345160, 30.744200, 3.873000
0.346340, 30.444200, 4.460210
0.352168, 30.848100, 3.663450
0.365159, 30.893900, 3.776310
0.384959, 30.997200, 4.154300
0.432591, 30.516400, 4.879250
0.433749, 31.014900, 5.024820
0.435995, 30.929500, 4.388170
0.463533, 30.950800, 4.483630
0.485789, 31.121200, 4.653900
0.547266, 30.994100, 5.424230
0.547270, 31.289000, 5.006010
0.547429, 31.322300, 5.542750
0.581470, 31.218000, 5.127310
0.609394, 31.569100, 5.871530
0.682583, 31.632700, 6.148660
0.687657, 31.476700, 6.142920
0.689697, 31.693800, 5.632170
0.732579, 31.561400, 5.992860
0.770474, 31.855300, 6.354160
0.862631, 32.079500, 6.602980
0.868714, 32.103000, 6.940420
0.869966, 31.939800, 6.835280
0.925393, 32.029700, 6.956780
0.970200, 32.371800, 7.268790
1.083089, 32.671300, 7.738190
1.088735, 32.683900, 7.584470
1.093299, 32.782100, 7.579470
1.222576, 32.880500, 8.360630
1.370200, 33.254800, 8.905910
1.372063, 33.248600, 8.761070
1.374390, 33.061700, 8.969100
1.540228, 33.588800, 9.665130
1.722513, 34.110400, 9.850600
1.722643, 34.016700, 10.631100
1.730254, 33.825700, 10.495300
1.920660, 34.478900, 11.189700
2.158115, 35.307100, 11.422100
2.167182, 34.834900, 11.753100
2.168658, 34.601400, 12.361200
2.430085, 35.438800, 12.988400
2.734779, 35.446800, 14.574100
2.740582, 36.330400, 14.328300
2.742778, 35.859800, 13.490700
2.746802, 36.480500, 12.911400
3.074628, 36.596400, 15.192900
3.429475, 37.362800, 15.606600
3.445142, 37.759900, 14.901400
3.459605, 37.329200, 16.269200
3.824918, 38.127900, 17.624200
4.328091, 38.612900, 18.072900
4.332753, 38.904400, 17.099600
4.334126, 38.853800, 18.898600
4.845198, 39.411200, 20.661800
5.447072, 40.202400, 20.941800
5.472656, 40.628800, 22.074600
5.491919, 40.564600, 19.763700
6.102646, 41.217000, 24.205200
6.851118, 42.658500, 24.471700
6.885902, 42.734000, 25.583100
6.899652, 42.270400, 23.067700
7.671818, 43.165300, 28.346100
8.643689, 45.129200, 28.628800
8.675923, 45.136800, 29.851900
8.692100, 44.435100, 26.627000
9.672045, 44.620800, 32.979000
10.907495, 48.044200, 34.666900
10.919195, 48.078200, 33.460300
10.946462, 47.112700, 30.852500
13.653794, 51.407300, 40.360300
13.724910, 51.088900, 38.743100
13.776044, 50.247200, 35.288000
17.165801, 55.833000, 46.751300
17.182748, 55.037300, 45.646200
17.354945, 53.580900, 41.600200
21.571890, 59.613100, 51.939400
21.680911, 60.160200, 54.351000
21.744708, 57.939100, 48.411700
27.224439, 65.128700, 60.521200
27.228109, 64.300900, 62.504500
27.592190, 63.146500, 56.378200
34.389947, 72.078500, 70.229400
34.445858, 68.407700, 71.454400
34.580270, 69.047700, 65.297700
42.091332, 75.283800, 71.653700
43.153658, 72.493200, 79.922700
43.254258, 80.012500, 81.561500
43.401088, 76.707600, 74.736700
52.685942, 83.069400, 82.009700
54.416688, 85.304800, 86.527000
54.437189, 89.531100, 93.136700
66.637425, 93.233500, 93.945200
68.300435, 100.493000, 106.855000
68.692803, 95.464200, 100.732000
