Frequency (Hz), Storage (MPa), Loss (MPa) - EP103_H2.txt
0.096430, 4626.213898, 228.736174
0.211990, 4893.201987, 240.230416
0.443985, 5111.650827, 79.311031
0.987954, 5281.553012, 300.000614
2.198392, 5208.737657, 109.196130
4.548777, 5402.912244, 180.460394
10.000000, 5378.638916, 150.575471
22.251988, 5524.271476, 90.805273
46.603811, 5572.815354, 60.920350
102.453491, 5815.533819, 106.897317
168.389961, 6033.980807, 155.173097
260.489270, 6398.058504, 205.747691
449.398886, 6567.961615, 258.621273
662.297809, 6737.863799, 302.299427
1049.670804, 6883.495433, 332.184351
