Frequency (Hz), Storage (MPa), Loss (MPa) - EP103_H3_2.txt
0.097605, 2077.669094, 143.678855
0.214575, 2101.940570, 134.483427
0.454878, 2441.746791, 127.586987
0.964296, 2490.291595, 139.081229
2.145749, 2587.377499, 111.494943
4.548777, 2708.736731, 95.403075
10.000000, 2660.193779, 120.690372
21.199035, 2902.912244, 113.793757
45.487793, 3024.271476, 116.092745
100.000046, 3000.000000, 90.805273
150.989826, 3266.989941, 185.058196
239.302858, 3388.349173, 191.954636
438.637577, 3703.883918, 171.264966
804.014315, 3946.602382, 208.046680
1353.877514, 4189.319921, 231.035163
